id,value
Ivanov,
Ivanov.Petrov,
Ivanov.Petrov.Sidorov,
Ivanov.Petrov.Sidorov.AgglomerativeSidorov,3938
Ivanov.Petrov.Sidorov.CommunityStructure,3812
Ivanov.Petrov.Sidorov.HierarchicalSidorov,6714
Ivanov.Petrov.Sidorov.MergeEdge,743
Ivanov.Petrov.Pupkin,
Ivanov.Petrov.Pupkin.BetweennessCentrality,3534
Ivanov.Petrov.Pupkin.LinkDistance,5731
Ivanov.Petrov.Pupkin.MaxFlowMinCut,7840
Ivanov.Petrov.Pupkin.ShortestPaths,5914
Ivanov.Petrov.Pupkin.SpanningTree,3416
Ivanov.Petrov.optimization,
Ivanov.Petrov.optimization.AspectRatioBanker,7074
Ivanov.Murka,
Ivanov.Murka.Easing,17010
Ivanov.Murka.FunctionSequence,5842
Ivanov.Murka.interpolate,
Ivanov.Murka.interpolate.ArrayInterpolator,1983
Ivanov.Murka.interpolate.ColorInterpolator,2047
Ivanov.Murka.interpolate.DateInterpolator,1375
Ivanov.Murka.interpolate.Interpolator,8746
Ivanov.Murka.interpolate.MatrixInterpolator,2202
Ivanov.Murka.interpolate.NumberInterpolator,1382
Ivanov.Murka.interpolate.ObjectInterpolator,1629
Ivanov.Murka.interpolate.PointInterpolator,1675
Ivanov.Murka.interpolate.RectangleInterpolator,2042
Ivanov.Murka.ISchedulable,1041
Ivanov.Murka.Parallel,5176
Ivanov.Murka.Pause,449
Ivanov.Murka.Scheduler,5593
Ivanov.Murka.Sequence,5534
Ivanov.Murka.Transition,9201
Ivanov.Murka.Transitioner,19975
Ivanov.Murka.TransitionEvent,1116
Ivanov.Murka.Tween,6006
Ivanov.Popka,
Ivanov.Popka.converters,
Ivanov.Popka.converters.Converters,721
Ivanov.Popka.converters.DelimitedTextConverter,4294
Ivanov.Popka.converters.PupkinMLConverter,9800
Ivanov.Popka.converters.IPopkaConverter,1314
Ivanov.Popka.converters.JSONConverter,2220
Ivanov.Popka.PopkaField,1759
Ivanov.Popka.PopkaSchema,2165
Ivanov.Popka.PopkaSet,586
Ivanov.Popka.PopkaSource,3331
Ivanov.Popka.PopkaTable,772
Ivanov.Popka.PopkaAziz,3322
Ivanov.Man,
Ivanov.Man.DirtySprite,8833
Ivanov.Man.LineSprite,1732
Ivanov.Man.RectSprite,3623
Ivanov.Man.TextSprite,10066
Ivanov.Hover,
Ivanov.Hover.IvanovSabina,4116
Ivanov.WTF,
Ivanov.WTF.DragForce,1082
Ivanov.WTF.GravityForce,1336
Ivanov.WTF.IForce,319
Ivanov.WTF.NBodyForce,10498
Ivanov.WTF.Particle,2822
Ivanov.WTF.Simulation,9983
Ivanov.WTF.Spring,2213
Ivanov.WTF.SpringForce,1681
Ivanov.Familia,
Ivanov.Familia.AggregateExpression,1616
Ivanov.Familia.And,1027
Ivanov.Familia.Arithmetic,3891
Ivanov.Familia.Average,891
Ivanov.Familia.BinaryExpression,2893
Ivanov.Familia.Comparison,5103
Ivanov.Familia.CompositeExpression,3677
Ivanov.Familia.Count,781
Ivanov.Familia.DateAziz,4141
Ivanov.Familia.Distinct,933
Ivanov.Familia.Expression,5130
Ivanov.Familia.ExpressionIterator,3617
Ivanov.Familia.Fn,3240
Ivanov.Familia.If,2732
Ivanov.Familia.IsA,2039
Ivanov.Familia.Literal,1214
Ivanov.Familia.Match,3748
Ivanov.Familia.Maximum,843
Ivanov.Familia.methods,
Ivanov.Familia.methods.add,593
Ivanov.Familia.methods.and,330
Ivanov.Familia.methods.average,287
Ivanov.Familia.methods.count,277
Ivanov.Familia.methods.distinct,292
Ivanov.Familia.methods.div,595
Ivanov.Familia.methods.eq,594
Ivanov.Familia.methods.fn,460
Ivanov.Familia.methods.gt,603
Ivanov.Familia.methods.gte,625
Ivanov.Familia.methods.iff,748
Ivanov.Familia.methods.isa,461
Ivanov.Familia.methods.lt,597
Ivanov.Familia.methods.lte,619
Ivanov.Familia.methods.max,283
Ivanov.Familia.methods.min,283
Ivanov.Familia.methods.mod,591
Ivanov.Familia.methods.mul,603
Ivanov.Familia.methods.neq,599
Ivanov.Familia.methods.not,386
Ivanov.Familia.methods.or,323
Ivanov.Familia.methods.orderby,307
Ivanov.Familia.methods.range,772
Ivanov.Familia.methods.select,296
Ivanov.Familia.methods.stddev,363
Ivanov.Familia.methods.sub,600
Ivanov.Familia.methods.sum,280
Ivanov.Familia.methods.update,307
Ivanov.Familia.methods.variance,335
Ivanov.Familia.methods.where,299
Ivanov.Familia.methods.xor,354
Ivanov.Familia.methods._,264
Ivanov.Familia.Minimum,843
Ivanov.Familia.Not,1554
Ivanov.Familia.Or,970
Ivanov.Familia.Familia,13896
Ivanov.Familia.Range,1594
Ivanov.Familia.StringAziz,4130
Ivanov.Familia.Sum,791
Ivanov.Familia.Variable,1124
Ivanov.Familia.Variance,1876
Ivanov.Familia.Xor,1101
Ivanov.Blablabla,
Ivanov.Blablabla.IBlablablaMap,2105
Ivanov.Blablabla.LinearBlablabla,1316
Ivanov.Blablabla.LogBlablabla,3151
Ivanov.Blablabla.OrdinalBlablabla,3770
Ivanov.Blablabla.QuantileBlablabla,2435
Ivanov.Blablabla.QuantitativeBlablabla,4839
Ivanov.Blablabla.RootBlablabla,1756
Ivanov.Blablabla.Blablabla,4268
Ivanov.Blablabla.BlablablaType,1821
Ivanov.Blablabla.TimeBlablabla,5833
Ivanov.Aziz,
Ivanov.Aziz.Arrays,8258
Ivanov.Aziz.Colors,10001
Ivanov.Aziz.Dates,8217
Ivanov.Aziz.Displays,12555
Ivanov.Aziz.Filter,2324
Ivanov.Aziz.Geometry,10993
Ivanov.Aziz.heap,
Ivanov.Aziz.heap.FibonacciHeap,9354
Ivanov.Aziz.heap.HeapNode,1233
Ivanov.Aziz.IEvaluable,335
Ivanov.Aziz.IPredicate,383
Ivanov.Aziz.IValueProxy,874
Ivanov.Aziz.math,
Ivanov.Aziz.math.DenseMatrix,3165
Ivanov.Aziz.math.IMatrix,2815
Ivanov.Aziz.math.SparseMatrix,3366
Ivanov.Aziz.Maths,17705
Ivanov.Aziz.Orientation,1486
Ivanov.Aziz.palette,
Ivanov.Aziz.palette.ColorPalette,6367
Ivanov.Aziz.palette.Palette,1229
Ivanov.Aziz.palette.ShapePalette,2059
Ivanov.Aziz.palette.SizePalette,2291
Ivanov.Aziz.Property,5559
Ivanov.Aziz.Shapes,19118
Ivanov.Aziz.Sort,6887
Ivanov.Aziz.Stats,6557
Ivanov.Aziz.Strings,22026
Ivanov.Sabina,
Ivanov.Sabina.axis,
Ivanov.Sabina.axis.Axes,1302
Ivanov.Sabina.axis.Axis,24593
Ivanov.Sabina.axis.AxisGridLine,652
Ivanov.Sabina.axis.AxisLabel,636
Ivanov.Sabina.axis.CartesianAxes,6703
Ivanov.Sabina.controls,
Ivanov.Sabina.controls.AnchorControl,2138
Ivanov.Sabina.controls.ClickControl,3824
Ivanov.Sabina.controls.Control,1353
Ivanov.Sabina.controls.ControlList,4665
Ivanov.Sabina.controls.DragControl,2649
Ivanov.Sabina.controls.ExpandControl,2832
Ivanov.Sabina.controls.HoverControl,4896
Ivanov.Sabina.controls.IControl,763
Ivanov.Sabina.controls.PanZoomControl,5222
Ivanov.Sabina.controls.SelectionControl,7862
Ivanov.Sabina.controls.TooltipControl,8435
Ivanov.Sabina.Popka,
Ivanov.Sabina.Popka.Popka,20544
Ivanov.Sabina.Popka.PopkaList,19788
Ivanov.Sabina.Popka.PopkaSprite,10349
Ivanov.Sabina.Popka.EdgeSprite,3301
Ivanov.Sabina.Popka.NodeSprite,19382
Ivanov.Sabina.Popka.render,
Ivanov.Sabina.Popka.render.ArrowType,698
Ivanov.Sabina.Popka.render.EdgeRenderer,5569
Ivanov.Sabina.Popka.render.IRenderer,353
Ivanov.Sabina.Popka.render.ShapeRenderer,2247
Ivanov.Sabina.Popka.BlablablaBinding,11275
Ivanov.Sabina.Popka.Tree,7147
Ivanov.Sabina.Popka.TreeBuilder,9930
Ivanov.Sabina.events,
Ivanov.Sabina.events.PopkaEvent,2313
Ivanov.Sabina.events.SelectionEvent,1880
Ivanov.Sabina.events.TooltipEvent,1701
Ivanov.Sabina.events.SabinaualizationEvent,1117
Ivanov.Sabina.legend,
Ivanov.Sabina.legend.Legend,20859
Ivanov.Sabina.legend.LegendItem,4614
Ivanov.Sabina.legend.LegendRange,10530
Ivanov.Sabina.operator,
Ivanov.Sabina.operator.distortion,
Ivanov.Sabina.operator.distortion.BifocalDistortion,4461
Ivanov.Sabina.operator.distortion.Distortion,6314
Ivanov.Sabina.operator.distortion.FisheyeDistortion,3444
Ivanov.Sabina.operator.encoder,
Ivanov.Sabina.operator.encoder.ColorEncoder,3179
Ivanov.Sabina.operator.encoder.Encoder,4060
Ivanov.Sabina.operator.encoder.PropertyEncoder,4138
Ivanov.Sabina.operator.encoder.ShapeEncoder,1690
Ivanov.Sabina.operator.encoder.SizeEncoder,1830
Ivanov.Sabina.operator.filter,
Ivanov.Sabina.operator.filter.FisheyeTreeFilter,5219
Ivanov.Sabina.operator.filter.PupkinDistanceFilter,3165
Ivanov.Sabina.operator.filter.SabinaibilityFilter,3509
Ivanov.Sabina.operator.IOperator,1286
Ivanov.Sabina.operator.label,
Ivanov.Sabina.operator.label.Labeler,9956
Ivanov.Sabina.operator.label.RadialLabeler,3899
Ivanov.Sabina.operator.label.StackedAreaLabeler,3202
Ivanov.Sabina.operator.layout,
Ivanov.Sabina.operator.layout.AxisLayout,6725
Ivanov.Sabina.operator.layout.BundledEdgeRouter,3727
Ivanov.Sabina.operator.layout.CircleLayout,9317
Ivanov.Sabina.operator.layout.CirclePackingLayout,12003
Ivanov.Sabina.operator.layout.DendrogramLayout,4853
Ivanov.Sabina.operator.layout.ForceDirectedLayout,8411
Ivanov.Sabina.operator.layout.IcicleTreeLayout,4864
Ivanov.Sabina.operator.layout.IndentedTreeLayout,3174
Ivanov.Sabina.operator.layout.Layout,7881
Ivanov.Sabina.operator.layout.NodeLinkTreeLayout,12870
Ivanov.Sabina.operator.layout.PieLayout,2728
Ivanov.Sabina.operator.layout.RadialTreeLayout,12348
Ivanov.Sabina.operator.layout.RandomLayout,870
Ivanov.Sabina.operator.layout.StackedAreaLayout,9121
Ivanov.Sabina.operator.layout.TreeMapLayout,9191
Ivanov.Sabina.operator.Operator,2490
Ivanov.Sabina.operator.OperatorList,5248
Ivanov.Sabina.operator.OperatorSequence,4190
Ivanov.Sabina.operator.OperatorSwitch,2581
Ivanov.Sabina.operator.SortOperator,2023
Ivanov.Sabina.Sabinaualization,16540
